CREATE TABLE t1 (
i1 INTEGER PRIMARYKEY,
3035 65.65 "LxzcX",
1082 51.66 "tCiz4",
9178 52.80 "cvPmm",
995 63.35 "OpTeb",
2919 86.97 "qczZm",
2883 90.42 "qtoBb",
1966 13.30 "lt1AB",
2305 50.11 "jaBHT",
1141 85.06 "eOJt5",
2269 54.96 "Wdht1",
1715 28.89 "bBEJX",
3698 51.73 "jYGTB",
5166 63.29 "zPqT8",
8629 62.64 "Y2VdK",
5791 15.98 "JmFVT",
7066 72.96 "LBNff",
2900 56.66 "FkGoX",
9660 84.85 "cdIud",
7807 43.63 "wBFIX",
7702 68.54 "smRxt",
2324 20.54 "VI4Vt",
1012 65.00 "5a4LF",
4009 12.81 "SFS0Z",
1679 42.17 "2YgLN",
4667 78.94 "tVOrM",
5524 77.45 "Crozh",
2963 79.32 "QkPgf",
4546 48.39 "P7BZw",
8829 65.91 "WjB5Y",
7489 56.25 "s9EQf",
5135 20.37 "MUGEN",
8786 30.13 "RSsuX",
144 77.30 "UeD4s",
4637 97.47 "t8vnb",
2415 27.17 "VTYFq",
5657 87.57 "iCE3S",
4047 63.11 "5VbcL",
9488 29.68 "mmffE",
6683 49.80 "HSjJz",
7981 27.22 "E4rne",
7582 90.76 "GWIbx",
1749 95.49 "KeaYv",
684 93.19 "BozMA",
5920 52.88 "t3vLC",
9713 36.21 "zwzZi",
898 35.61 "JZ13m",
6296 79.03 "zpFwY",
1578 85.30 "rdCrc",
4095 21.69 "4iA3L",
8195 46.22 "RX0YM",
5540 47.04 "FIqux",
7529 90.14 "Qajn7",
3354 93.63 "Av7l5",
1509 61.76 "H0DI1",
5959 77.36 "h3fqa",
2127 62.01 "1Rivo",
7967 79.48 "yRjMu",
8419 31.69 "Gvs48",
8176 94.88 "h7Jat",
788 47.83 "ZNLAJ",
2467 90.12 "KPkKQ",
2638 86.86 "Q18oG",
803 91.99 "89GAj",
4772 89.93 "rsTzw",
2211 13.59 "qSPlZ",
3625 21.76 "6hcz3",
5382 78.81 "lsenj",
3087 2.53 "iP1tp",
268 40.70 "CW6P8",
3921 6.57 "U67MG",
8717 90.69 "EW524",
7137 32.20 "JMZo9",
281 18.76 "nkX8x",
9387 44.70 "ojWR0",
3335 7.23 "lIPa4",
789 46.39 "rP4Iv",
616 0.36 "orIWk",
5502 48.08 "cmNML",
5628 31.58 "jKQ9l",
1263 76.53 "0AMAr",
9665 8.28 "wKkGc",
8666 62.71 "UunGo",
3813 21.69 "B2cmT",
7160 12.81 "p2GX5",
1985 21.22 "JeKsV",
2708 72.87 "end7C",
5428 70.87 "JYZAP",
9403 67.46 "XdA8T",
6649 23.56 "7HBis",
2017 59.42 "ed2dJ",
779 69.38 "D1dtK",
2058 9.99 "IQIzq",
9271 3.72 "2gExf",
731 12.56 "4wYIf",
5511 61.25 "xmj80",
460 20.76 "bx0zm",
9315 71.40 "5P50S",
5011 29.21 "ByDyH",
7403 68.63 "6c7sI",
3449 48.27 "KDEXJ",
7623 85.79 "CoA9N",
6099 83.77 "jGzFE",
9152 15.06 "23JfG",
3364 41.45 "FbmB0",
7869 23.00 "nKOvR",
7727 70.72 "1A1lC",
8206 50.29 "1P3Zi",
4979 95.77 "aXY49",
54 20.77 "hfCs5",
4614 87.32 "PtxjI",
5602 11.14 "zXiDU",
8709 60.01 "wL1lF",
8626 44.47 "KiY1J",
1183 4.10 "1cKup",
8192 24.50 "66oiL",
9991 80.90 "jr1dD",
5750 94.14 "Hx75l",
9500 4.62 "DjLUv",
8920 55.25 "hsbpF",
9719 58.00 "jdiSb",
963 90.31 "tvJMe",
5080 88.53 "VpwbI",
6817 26.13 "OHBaz",
5274 5.56 "D27id",
1246 69.95 "XnZD6",
8184 36.66 "C8e96",
7235 26.81 "13dr8",
9358 59.37 "nTuYS",
8469 38.91 "IctxG",
4212 27.70 "wJL3v",
9257 57.00 "4lDmz",
1129 2.20 "jufEH",
8627 34.92 "Z9lgO",
8257 17.29 "V6K72",
5784 54.23 "udYlA",
5315 46.96 "uexe6",
5913 25.00 "lBvtT",
8687 86.35 "wJOqK",
8446 15.39 "fIqAU",
5565 27.18 "Giiuz",
5875 20.04 "nmehI",
427 96.47 "5dkjH",
7898 13.35 "lmPZt",
2715 61.57 "3zPYd",
6935 57.06 "tWFrs",
7846 11.95 "UxUg5",
3086 68.66 "TM3vo",
1318 94.12 "gmWSg",
7658 36.73 "1BJPp",
5143 8.04 "BJqyd",
7733 56.61 "gthcJ",
9943 33.76 "P3Qz3",
9768 98.54 "YkLoW",
1198 85.99 "H7h69",
428 23.13 "xTDR3",
2302 98.70 "Giy3Z",
1624 68.64 "Xj5qY",
8857 28.87 "9xLjP",
697 55.39 "y66B1",
1716 90.25 "pejni",
4283 49.79 "O6jNL",
9840 21.87 "zeqmo",
9411 19.61 "HbinY",
3598 46.13 "9Ypoq",
4624 98.05 "jsmyt",
9639 63.72 "3Mx60",
199 24.25 "DwTRb",
2312 22.84 "JZKMO",
5646 24.51 "Ixwup",
1607 91.84 "C8pr9",
6550 7.42 "c0lRs",
2030 18.35 "f2prg",
1957 3.04 "qiEVv",
1083 8.74 "EdrbT",
2076 95.61 "aI0Ov",
5228 53.73 "wyJPP",
5590 45.03 "647i3",
2315 10.39 "UCeir"
);
SELECT * FROM t1;
<QUIT>
